               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.043985,            0.057269,             0.01178,             0.68112,             0.12346,             0.14715,            0.073839,            0.061123,            0.076699,            0.031611,           0.0061637,           0.0061637,           0.0061637
                  64,            0.043735,            0.059118,            0.012102,             0.62106,             0.14695,             0.15075,             0.07255,            0.061282,            0.077981,            0.031761,           0.0061019,           0.0061019,           0.0061019
                  65,            0.043344,            0.057747,            0.012183,             0.52977,             0.14736,             0.15805,            0.077064,             0.06169,            0.078552,            0.033611,             0.00604,             0.00604,             0.00604
                  66,            0.043946,            0.056344,             0.01221,             0.41587,             0.16841,              0.1688,            0.089102,            0.061164,            0.079126,             0.03093,           0.0059781,           0.0059781,           0.0059781
                  67,            0.043624,            0.056591,             0.01251,             0.51262,             0.15841,             0.16512,            0.081779,            0.061293,            0.076863,            0.031657,           0.0059163,           0.0059163,           0.0059163
                  68,            0.043851,            0.057658,            0.011928,              0.7498,             0.14371,             0.16574,            0.089682,            0.061522,            0.079045,            0.031025,           0.0058544,           0.0058544,           0.0058544
                  69,            0.043019,            0.055049,            0.011472,             0.67189,             0.15057,             0.17449,            0.088429,            0.060918,             0.07945,            0.031137,           0.0057925,           0.0057925,           0.0057925
                  70,            0.043268,            0.055491,            0.011855,             0.44388,             0.15338,             0.17198,            0.084365,            0.061624,            0.079688,            0.031515,           0.0057306,           0.0057306,           0.0057306
                  71,            0.043361,            0.055666,            0.011875,             0.64995,             0.13328,             0.16519,            0.084908,            0.061317,            0.079359,            0.031126,           0.0056688,           0.0056688,           0.0056688
                  72,            0.042868,            0.056024,            0.011667,             0.51947,             0.14705,             0.16298,            0.080974,            0.061534,            0.078655,            0.031406,           0.0056069,           0.0056069,           0.0056069
                  73,            0.043155,            0.056471,            0.012412,             0.50445,             0.15776,             0.16373,            0.085549,            0.061708,            0.079581,            0.031907,            0.005545,            0.005545,            0.005545
                  74,            0.042673,            0.055699,            0.011304,             0.65735,              0.1438,             0.16605,            0.081789,            0.061823,            0.080793,            0.031732,           0.0054831,           0.0054831,           0.0054831
                  75,            0.042734,            0.055758,            0.011891,             0.48058,             0.17305,             0.17142,            0.083566,            0.061917,            0.081042,             0.03131,           0.0054212,           0.0054212,           0.0054212
                  76,            0.042195,            0.054413,            0.011195,             0.59188,             0.15767,             0.17893,            0.089267,            0.061063,            0.078044,            0.031279,           0.0053594,           0.0053594,           0.0053594
                  77,            0.042294,            0.054913,            0.011216,             0.68735,             0.14552,             0.17109,            0.081711,            0.061177,             0.07971,            0.031306,           0.0052975,           0.0052975,           0.0052975
                  78,            0.041774,            0.052313,            0.010962,             0.49603,              0.1684,             0.16324,            0.082569,            0.061951,            0.080575,            0.031485,           0.0052356,           0.0052356,           0.0052356
                  79,            0.041307,            0.054315,            0.011542,             0.52311,              0.1537,             0.15854,            0.084609,            0.061139,            0.077903,            0.031383,           0.0051737,           0.0051737,           0.0051737
                  80,            0.041876,            0.055362,            0.011528,             0.53289,             0.16654,             0.16605,            0.080658,            0.061574,            0.081294,            0.031449,           0.0051119,           0.0051119,           0.0051119
                  81,            0.042018,            0.056491,            0.011126,             0.48517,             0.17502,              0.1632,            0.086946,            0.061091,            0.081059,            0.031024,             0.00505,             0.00505,             0.00505
                  82,            0.041767,            0.054779,            0.011076,             0.69666,             0.15114,             0.17286,            0.087996,            0.061455,             0.07957,            0.031478,           0.0049881,           0.0049881,           0.0049881
                  83,            0.041387,             0.05369,            0.010911,             0.59665,             0.14213,             0.17087,             0.08935,            0.060417,            0.079732,            0.031551,           0.0049263,           0.0049263,           0.0049263
                  84,            0.041394,            0.054849,            0.010866,             0.42207,             0.16918,              0.1678,            0.084492,            0.061584,            0.080634,            0.031831,           0.0048644,           0.0048644,           0.0048644
                  85,            0.040864,            0.053041,             0.01053,             0.61978,             0.13855,              0.1742,            0.091199,            0.062234,             0.08357,            0.031958,           0.0048025,           0.0048025,           0.0048025
                  86,            0.041428,             0.05462,              0.0111,             0.51755,             0.17807,             0.17008,            0.085487,            0.061663,            0.082735,            0.031218,           0.0047406,           0.0047406,           0.0047406
                  87,            0.040856,             0.05287,            0.010857,             0.69386,             0.15579,             0.17286,            0.088547,            0.060883,            0.081539,            0.030841,           0.0046788,           0.0046788,           0.0046788
                  88,            0.040892,            0.054519,            0.010675,             0.63075,             0.13977,             0.16533,            0.086416,            0.060877,             0.08068,            0.031017,           0.0046169,           0.0046169,           0.0046169
                  89,            0.040562,            0.053621,              0.0106,             0.63407,             0.15126,             0.16502,            0.083293,            0.061881,             0.07976,            0.031184,            0.004555,            0.004555,            0.004555
                  90,            0.040756,            0.054125,            0.010436,             0.56688,              0.1428,             0.16064,            0.082955,            0.061781,            0.081155,             0.03147,           0.0044931,           0.0044931,           0.0044931
                  91,            0.040742,            0.053065,            0.010782,             0.61297,             0.13354,             0.16038,            0.074636,            0.061445,            0.080784,            0.031316,           0.0044313,           0.0044313,           0.0044313
                  92,            0.040821,            0.055458,            0.010974,             0.48327,             0.17934,             0.17329,             0.08384,            0.061754,            0.082716,            0.031586,           0.0043694,           0.0043694,           0.0043694
                  93,            0.039535,            0.052019,            0.010107,             0.67167,             0.12742,              0.1462,            0.072666,            0.061883,            0.081192,            0.031319,           0.0043075,           0.0043075,           0.0043075
                  94,            0.040044,            0.051989,            0.010437,             0.64723,             0.14588,             0.16464,            0.084777,             0.06162,            0.080475,            0.031261,           0.0042456,           0.0042456,           0.0042456
                  95,            0.040431,            0.052999,            0.010333,             0.46908,             0.17619,               0.166,            0.089988,            0.061919,            0.081824,            0.032508,           0.0041837,           0.0041837,           0.0041837
                  96,            0.039593,            0.052528,            0.010527,             0.39502,             0.15921,              0.1577,            0.074643,             0.06147,            0.083758,             0.03247,           0.0041219,           0.0041219,           0.0041219
                  97,             0.03933,             0.05255,            0.009889,             0.50056,             0.14409,             0.16175,            0.083928,            0.061522,            0.082502,            0.032091,             0.00406,             0.00406,             0.00406
                  98,            0.040017,            0.052466,            0.010162,             0.69033,              0.1506,             0.16878,            0.086409,            0.061751,            0.082212,            0.032122,           0.0039981,           0.0039981,           0.0039981
                  99,            0.039514,            0.051098,            0.010031,             0.63342,             0.13708,             0.15224,            0.079467,            0.061647,            0.082367,            0.031545,           0.0039362,           0.0039362,           0.0039362
                 100,            0.039438,            0.051288,           0.0098358,             0.56354,             0.14065,             0.14956,            0.072924,            0.061286,             0.08262,            0.031003,           0.0038744,           0.0038744,           0.0038744
