               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.062248,            0.078593,            0.051232,             0.36475,             0.12104,            0.094281,            0.044995,            0.066625,            0.060981,            0.053071,            0.005347,            0.005347,            0.005347
                  49,            0.061685,            0.076913,            0.050448,             0.39263,             0.14365,            0.098897,            0.047983,            0.066401,            0.060472,            0.053339,            0.005248,            0.005248,            0.005248
                  50,            0.061515,            0.076372,            0.050349,             0.37027,             0.13466,            0.098837,            0.043986,            0.067457,            0.059814,             0.05278,            0.005149,            0.005149,            0.005149
                  51,            0.061233,            0.076479,            0.049858,             0.38107,              0.1402,             0.10908,            0.051635,            0.066297,             0.06006,            0.052384,             0.00505,             0.00505,             0.00505
                  52,            0.060846,            0.075132,            0.048982,             0.34292,             0.13194,            0.097368,            0.046178,            0.067073,            0.060313,            0.053122,            0.004951,            0.004951,            0.004951
                  53,            0.060971,            0.075492,            0.048724,             0.36171,             0.14001,             0.10386,            0.051537,             0.06622,            0.059625,            0.051508,            0.004852,            0.004852,            0.004852
                  54,            0.060538,            0.077267,            0.047904,             0.33617,             0.13973,             0.10599,            0.050652,            0.066438,             0.05993,            0.051507,            0.004753,            0.004753,            0.004753
                  55,            0.059959,            0.075692,            0.047103,             0.36823,             0.13569,             0.11701,            0.051833,            0.066455,            0.059795,            0.050843,            0.004654,            0.004654,            0.004654
                  56,            0.059799,            0.077489,            0.047343,             0.34418,             0.15039,             0.11667,             0.05662,            0.066543,            0.060263,            0.051205,            0.004555,            0.004555,            0.004555
                  57,            0.059427,            0.074637,            0.046872,             0.38666,             0.14336,             0.11951,            0.059105,             0.06626,            0.059971,             0.05051,            0.004456,            0.004456,            0.004456
                  58,            0.059083,            0.072503,            0.046536,             0.37363,             0.15733,             0.11631,            0.057277,            0.066082,             0.06046,            0.051327,            0.004357,            0.004357,            0.004357
                  59,            0.058733,            0.071871,            0.045618,             0.36297,             0.14189,             0.11349,            0.055523,            0.066439,            0.060304,            0.050759,            0.004258,            0.004258,            0.004258
                  60,            0.059109,            0.074624,            0.045863,             0.32168,             0.14857,             0.11869,            0.061371,            0.066018,            0.060563,            0.050497,            0.004159,            0.004159,            0.004159
                  61,            0.058633,            0.072527,            0.045159,             0.38032,             0.14563,             0.11968,            0.056669,            0.066667,            0.060671,            0.050621,             0.00406,             0.00406,             0.00406
                  62,            0.058263,            0.072132,            0.044414,             0.35692,             0.14984,             0.12265,            0.061108,            0.066397,              0.0606,             0.05063,            0.003961,            0.003961,            0.003961
                  63,            0.057844,            0.073422,            0.043876,             0.32971,             0.15926,             0.12555,            0.061476,            0.066095,            0.061067,            0.050265,            0.003862,            0.003862,            0.003862
                  64,             0.05799,            0.072023,             0.04413,             0.29019,             0.17255,             0.12718,            0.066452,            0.065963,            0.059999,            0.049528,            0.003763,            0.003763,            0.003763
